Index,Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point
395,Brooklyn,Bushwick (East),NW Corner of Central Avenue & Madision Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,4084,
396,Brooklyn,Bushwick (West),NW Corner of Central Avenue & Stanhope Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,4073,
397,Manhattan,Manhattanville-West Harlem,NW Corner of W 133 Street & Broadway,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,109,7,,,,,,30,3886,
398,Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn Borough Hall Saturday Greenmarket,Court St. and Montague St.,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,302,33,9,,,40.693609,-73.990261,84,4112,POINT (-73.990261 40.693609)
399,Brooklyn,Bensonhurst,18th Avenue at 64th Street,west of 18th Avenue between 64th Street and 63rd Street,NYC Compost Project Hosted by LES Ecology Center,Year Round,Tuesdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,311,43,,,,40.6200069,-73.9894524,62,4047,POINT (-73.9894524 40.6200069)
400,Brooklyn,Bedford-Stuyvesant (East),Bed Stuy Fresh Food Box,Decatur St and Lewis Ave,GrowNYC,Year Round,Saturdays (Start Time: 11:00 AM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,303,36,273,,,40.68133,-73.93481,81,3936,POINT (-73.93481 40.68133)
401,Brooklyn,Crown Heights (North),SE Corner of Schenectady Avenue & Lincoln Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,3973,
402,Bronx,Bedford Park,Lehman College,"Gate 8: Bedford Park Blvd West & Paul Ave Bronx, NY 10468",Volunteers at Lehman College,Year Round,Mondays (Start Time: 9:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",http://www.lehman.cuny.edu/,207,11,,,,40.873838,-73.895344,52,4237,POINT (-73.895344 40.873838)
403,Queens,Ridgewood,Ridgewood,Cypress Ave btw Myrtle Ave. and Putnam Ave.,GrowNYC,Year Round,Saturdays (Start Time: 9:30 AM - End Time:  1:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,405,34,,,,40.7003,-73.906675,104,4105,POINT (-73.906675 40.7003)
404,Manhattan,Washington Heights (South),NE Corner of Amsterdam Avenue & W 155 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,,,,,,33,4032,
405,Queens,Queensbridge-Ravenswood-Dutch Kills,NW Corner of Queens Plaza North & 21 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,26,,,,,,114,4168,
406,Brooklyn,Prospect Park,Nurture BK,"Prospect Park, West of the entrance on Parkside Av (& Ocean Av)",Nurture BK,Year Round,Sundays (Start Time: 9:00 AM - End Time:  11:00 AM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/nurturebk_compost/,355,39,,,,40.654917,-73.962083,78,4019,POINT (-73.962083 40.654917)
407,Manhattan,East Midtown-Turtle Bay,58th Street Library Food Scrap Drop-off,"127 E 58th St, New York, NY 10022",GrowNYC,Year Round,Wednesdays (Start Time: 7:30 AM  - End Time:  1:30 PM),"Not accepted: meat, bones, or dairy",grownyc.gov/compost,105,4,,,,40.76198,-73.9693,18,3872,POINT (-73.9693 40.76198)
408,Manhattan,West Village,Hudson River Park Pier 46 at Charles St,Pier 46 at Charles St,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,102,3,75,,,40.734225,-74.010722,6,4004,POINT (-74.010722 40.734225)
409,Manhattan,Morningside Heights,Columbia Sunday Greenmarket,Broadway between 114th St. and 115th St.,GrowNYC,Year Round,Sundays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,109,7,,,,40.807138,-73.96437,26,3887,POINT (-73.96437 40.807138)
410,Manhattan,East Harlem (North),Uptown Grand Central Fresh Food Box,"Park Ave &, E 125th St",Uptown Grand Central,Year Round,Wednesdays (Start Time: 2:00 PM - End Time:  7:00 PM),,,111,9,,,,40.8049824,-73.9390315,25,3909,POINT (-73.9390315 40.8049824)
411,Staten Island,Annadale-Huguenot-Prince's Bay-Woodrow,Rossville,Gladwin St and Pitney Ave,Snug Harbor Youth,Year Round,Mondays (Start Time: 12:00 PM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://snug-harbor.org/,503,51,226,,,40.530764,-74.222539,123,4283,POINT (-74.222539 40.530764)
412,Queens,Jackson Heights,Fordham Plaza Food Scrap Drop-off,E Fordham Rd between Webster Ave & Third Ave,GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  11:30 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,403,25,,,,40.755111,-73.890783,115,4151,POINT (-73.890783 40.755111)
413,Manhattan,Murray Hill-Kips Bay,St. Vartan Park,Near the 1st Ave. & E 36th St. entrance,Alliance for Kips Bay with PS281 Green Team and PS116 PTA,Year Round,Saturdays (Start Time: 10:00 AM - End Time:  4:00 PM),"Not accepted: meat, bones, or dairy",bit.ly/StVartanCompost,106,4,,,,40.745061,-73.973126,17,4057,POINT (-73.973126 40.745061)
414,Queens,Astoria (North)-Ditmars-Steinway,Astoria Pug: Hoyt,"Northwest corner of Hoyt Avenue North and 21st Street, in a courtyard that?s officially called SITTING AREA",Astoria Pug,Year Round,Saturdays (Start Time: 9:00 AM - End Time:  4:00 PM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/astoriapug/?hl=en,401,22,,,,40.77538,-73.92302,114,4173,POINT (-73.92302 40.77538)
415,Staten Island,Westerleigh-Castleton Corners,NW Corner of Houston Street & Willowbrook Road,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,50,,,,,,121,4289,
416,Queens,Long Island City-Hunters Point,The Connected Chef,49-09 5th Street and 49th Avenue,The Connected Chef,Year Round,Fridays and Saturdays (Start Time: Fridays-8:30AM/Saturdays-9AM - End Time:  Fridays-3:30PM/Saturdays-2PM),"Not accepted: meat, bones, or dairy",,402,26,,,,40.74387,-73.9562,108,4268,POINT (-73.9562 40.74387)
417,Manhattan,East Harlem (North),Pleasant Village Community Garden,o	Along gates on the southside of 119th Street between Pleasant Avenue and FDR Drive,Pleasant Village Community Garden,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),"Not accepted: meat, bones, or dairy",http://facebook.com/pleasantvillagecommunitygarden,111,8,,,,40.796764,-73.931341,25,3914,POINT (-73.931341 40.796764)
418,Bronx,Mount Eden-Claremont (West),SE Corner of Townsend Avenue & E 174 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,16,,,,,,44,4129,
419,Bronx,Soundview-Bruckner-Bronx River,SW Corner of Beach Avenue & E 172 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,209,18,,,,,,43,4136,
420,Queens,Bellerose,Queens County Farm Museum,"73-50 Little Neck Parkway, Queens, NY 11004",Staff at Queens County Farm Museum,Year Round,Every day (Check Calendar of Events at queensfarm.org for dates when admission is charged* (and compost site is not accessible without a ticket). (Start Time: 10:00 AM - End Time:  4:00 PM),"*Farm-wide admission is charged for weekend events on 10-12 days each calendar year. Also, stop by the Farm Store to find a map for the location of tumblers for drop-off. Not accepted: meat, bones, or dairy",http://queensfarm.org/,413,23,,,,40.748406,-73.721002,105,4300,POINT (-73.721002 40.748406)
421,Manhattan,Harlem (North),Abyssinian Tot Lot,"130 W 139th St, New York, NY 10030",GrowNYC and the Malcolm X Boulevard Beautification Group,Year Round,Saturday (Start Time: 8:00 AM - End Time:  12:30 PM),,grownyc.org/compost,110,9,,,,40.8172313,-73.9408451,32,3897,POINT (-73.9408451 40.8172313)
422,Brooklyn,Bensonhurst,Bensonhurst,18th Ave btwn 81st & 82nd Streets,GrowNYC,Year Round,Sundays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,311,38,,,,40.609644,-73.999683,62,4046,POINT (-73.999683 40.609644)
423,Brooklyn,Bedford-Stuyvesant (East),NW Corner of Malcolm X Boulevard & Lafayette Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,81,3946,
424,Brooklyn,Prospect Heights,NE Corner of Flatbush Avenue & Prospect place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,78,4014,
425,Brooklyn,Williamsburg,McCarren Park Greenmarket,N 12th St and Driggs Ave,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,301,33,515,,,40.71974,-73.953394,94,4109,POINT (-73.953394 40.71974)
426,Brooklyn,Bedford-Stuyvesant (West),SW Corner of Tompkins Avenue & Macon street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,3993,
427,Brooklyn,East New York-New Lots,Rockaway Avenue Community Compost Site,"1149 Rockaway Avenue, Brooklyn NY, 11236",NYC Compost Project Hosted by LES Ecology Center,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,318,42,,,,40.6516768,-73.9059912,69,4212,POINT (-73.9059912 40.6516768)
428,Brooklyn,Bushwick (East),Moffat Street Community Garden,"9 Moffat St, Brooklyn, NY 11207",Moffat St Community Garden,Year Round,Saturdays (Start Time: 10:30 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",,304,37,,,,40.6843647,-73.9107326,83,4080,POINT (-73.9107326 40.6843647)
429,Brooklyn,Bushwick (West),SW Corner of St . Nicholas Avenue & Greene Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,4077,
430,Staten Island,Rosebank-Shore Acres-Park Hill,NE Corner of Vermont Avenue & Hylan Blvd,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,49,,,,,,120,4315,
431,Manhattan,Washington Heights (North),NW Corner of Cabrini Blvd & W 187 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,,,,,,34,4025,
432,Queens,Old Astoria-Hallets Point,SE Corner of 31st Ave & 14th St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,4193,
433,Queens,Astoria (Central),NW Corner of 31st Ave & 29th St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,4183,
434,Brooklyn,Crown Heights (North),NE Corner of Classon Avenue & Eastern Parkway,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,3978,
435,Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Carroll Gardens Greenmarket,Smith St and 1st Pl,GrowNYC,Year Round,Sundays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,306,39,77,,,40.679954,-73.99517,76,4051,POINT (-73.99517 40.679954)
436,Brooklyn,Crown Heights (North),NE Corner of Kingston Avenue & Park Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,,,,,,77,3961,
437,Bronx,Norwood,Keepers House Edible Garden,3400 Reservoir Oval East,Friends of Mosholu Parkland,Year Round,Every day (Start Time: 9:00 AM - End Time:  8:00 PM),"Not accepted: meat, bones, or dairy",www.mpcbronx.org,207,11,423,2033430185,2018218,40.87896,-73.87585,52,4240,POINT (-73.87585 40.87896)
438,Bronx,Highbridge,Target Bronx Community Garden,1024 Woodycrest Avenue,Target Bronx Community Garden,Year Round,Mondays (Start Time: 10:00 AM - End Time:  5:00 PM),"Bins at gate during winter months. Not accepted: meat, bones, or dairy",www.targetbronxcommunitygarden.org,204,16,189,2025080013,2000000,40.83316,-73.92728,44,4124,POINT (-73.92728 40.83316)
439,Manhattan,Hamilton Heights-Sugar Hill,SW Corner of W 138th Street & Amsterdam Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,109,7,,,,,,30,3882,
440,Manhattan,Financial District-Battery Park City,SmartComposting: Platt & Gold Streets,Platt and Gold Streets (Southeast corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.7077,-74.00679,1,3845,POINT (-74.00679 40.7077)
441,Manhattan,East Harlem (North),NE Corner of E 127 Street & Lexington Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,8,,,,,,25,3919,
442,Bronx,Tremont,La Familia Verde Farmer's Market,Tremont Ave between LaFontaine and Arthur Ave (Tremont Park),Volunteers at La Familia Verde Farmers Market,July- November 16 2021,Tuesdays (Start Time: 8:00 AM - End Time:  2:00 PM),"Visit the Center Farm stand to drop off your food scraps. Not accepted: meat, bones, or dairy",http://www.lafamiliaverde.org/,206,15,,,,40.846468,-73.894107,48,4225,POINT (-73.894107 40.846468)
443,Manhattan,Washington Heights (South),NE Corner of W 174 Street & Fort Washington Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,,,,,,33,4036,
444,Manhattan,Harlem (South),SW Corner of W 112 Street & 5 Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,,,,,,28,3904,
445,Manhattan,East Harlem (South),SE Corner of E 106 Street & 3 Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,8,,,,,,23,3924,
446,Manhattan,Tribeca-Civic Center,SmartComposting: Broadway & Park Place,Broadway and Park Place (Northwest corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.712653,-74.007723,1,3855,POINT (-74.007723 40.712653)
447,Brooklyn,Bedford-Stuyvesant (East),NE Corner of Throop Avenue & Madison Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,3987,
448,Manhattan,Manhattanville-West Harlem,St. Mary's Harlem,"521 W 126th St, New York, NY 10027",GrowNYC,Year Round,Fridays (Start Time: 8:30 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",stmarysharlem.org,109,7,,,,40.8149687,-73.9560903,26,3892,POINT (-73.9560903 40.8149687)
449,Manhattan,The Battery-Governors Island-Ellis Island-Liberty Island,Governors Island Soissons Ferry Landing,Adjacent to Soissons Landing and Taco Vista,NYC Compost Project Hosted by Earth Matter NY,Year Round,Whenever the Island is open to the public  (check ferry schedule) (Start Time: Check ferry schedule - End Time:  Check ferry schedule),,www.earthmatter.org,101,1,,,,40.69281,-74.0148306,1,3860,POINT (-74.0148306 40.69281)
450,Queens,Astoria (Central),SE Corner of 31st Ave & 36th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,4188,
451,Queens,Sunnyside Yards (South),Sunnyside Greenmarket,Skillman Ave between 42nd St. and 43rd St.,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,402,26,,,,40.746948,-73.921208,108,4272,POINT (-73.921208 40.746948)
452,Staten Island,St. George-New Brighton,H.E.A.L.T.H for Youths Skyline Community Garden,1 Clyde Place,H.E.A.L.T.H for Youths Skyline Community Garden,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",www.health4youths.org,501,49,77,,,40.639901,-74.0902865,120,4304,POINT (-74.0902865 40.639901)
453,Queens,Astoria (East)-Woodside (North),NW Corner of Broadway & 51 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,26,,,,,,114,4156,
454,Bronx,Concourse-Concourse Village,NW Corner of Gerard Avenue & E 150 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,8,,,,,,44,4119,
455,Manhattan,Upper East Side-Yorkville,Asphalt Green Food Scrap Drop-off,East 91st St & York Ave,GrowNYC,Year Round,Sundays (Start Time: 7:30 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,108,5,,,,40.779055,-73.944665,19,4251,POINT (-73.944665 40.779055)
456,Bronx,Pelham Bay-Country Club-City Island,SW Corner of Jarvis Avenue & Roberts Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,210,13,,,,,,45,4257,
457,Bronx,Soundview-Clason Point,NE Corner of Taylor Avenue & Lafayette Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,209,18,,,,,,43,4141,
458,Brooklyn,Sunset Park (West),Los Colibríes Community Garden,"219 34th Street, Brooklyn 11232",Los Colibríes Community Garden,Year Round,Sundays (Start Time: 11:00 AM - End Time:  4:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/jardin34/,307,38,,,,40.6547305,-74.0018481,72,4042,POINT (-74.0018481 40.6547305)
459,Manhattan,Chelsea-Hudson Yards,Hudson River Park's Pier 76 at W. 34th St.,Pier 76 at 34th Street and 12th Ave outside of compost yard South of 34th St,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,3,,,,40.756032,-74.006046,10,3877,POINT (-74.006046 40.756032)
460,Brooklyn,Crown Heights (North),Rochester Avenue & St. Johns Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,41,,,,,,77,3950,
461,Bronx,Tremont,SW Corner of Bathgate Avenue & E 182 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,206,15,,,,,,48,4229,
462,Brooklyn,East New York (North),East New York Farms: Ashford Learning Garden,"341 Ashford St, Brooklyn, NY 11207",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",ucceny.org/enyf-old/compost/,305,42,,,,40.674065,-73.885109,75,4208,POINT (-73.885109 40.674065)
463,Brooklyn,Bushwick (West),NE Corner of Bushwick Avenue & Dekalb Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,34,,,,,,83,4065,
464,Brooklyn,Bushwick (East),NE Corner of Bushwick Avenue & Palmetto Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,4092,
465,Brooklyn,Bedford-Stuyvesant (West),NE Corner of Bedford Avenue & Quincy Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,3997,
466,Brooklyn,Prospect Heights,Underhill Avenue & Bergen Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,3982,
467,Queens,Old Astoria-Hallets Point,NW Corner of Astoria Boulevard & 8 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,4197,
468,Manhattan,Financial District-Battery Park City,SmartComposting: John & Williams Streets,John and William Streets (Northwest corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.70888,-74.00721,1,3850,POINT (-74.00721 40.70888)
469,Brooklyn,Crown Heights (North),NE Corner of Rogers Avenue & Dean Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,,,,,,77,3965,
470,Bronx,University Heights (North)-Fordham,SW Corner of E 193 Street & Grand Concourse,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,207,14,,,,,,52,4236,
471,Manhattan,Midtown South-Flatiron-Union Square,Union Square Greenmarket,"E 17th St & Union Square E, New York, NY",NYC Compost Project Hosted by LES Ecology Center,Year Round,"Mondays, Wednesdays, Fridays, and Saturdays (Start Time: 8:00 AM - End Time:  5:00 PM)","Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,105,2,,,,40.73661,-73.9893,13,4010,POINT (-73.9893 40.73661)
472,Brooklyn,The Evergreens Cemetery,Aberdeen Community Garden,"91 Aberdeen St, Brooklyn, 11207",BK Rot,Year Round,"Sundays (Start Time: 1:00 PM - End Time:  4PM (Dec-Feb), 5PM (Mar.-Nov.))","Not accepted: meat, bones, or dairy",www.bkrot.org,304,37,,,,40.6840598,-73.9050492,83,4104,POINT (-73.9050492 40.6840598)
473,Brooklyn,Bushwick (East),NW Corner of Knickerbocker Avenue & Hancock Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,4097,
474,Manhattan,Upper West Side (Central),West Side Community Garden,"West of 110 West 90th street, New York, NY 10024 (between Columbus Ave and Amsterdam Ave)",West Side Community Garden,Year Round,Sundays 11 am - 12 pm,"Receptacles are placed outside the West Side Community Garden gate. No rice, bread, pasta, and grains. The drop-off will be closed during inclement weather including rain and snow. Please check www.instagram.com/westsidecommunitygarden for closure announ",www.instagram.com/westsidecommunitygarden,107,6,,,,40.7895156,-73.9716111,24,3865,POINT (-73.9716111 40.7895156)
475,Brooklyn,Crown Heights (North),New York Avenue & Prospect Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,,,,,,77,3955,
476,Brooklyn,Bushwick (East),NW Corner of Central Avenue & Moffat Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,4087,
477,Bronx,University Heights (South)-Morris Heights,SE Corner of W Tremont Avenue & University Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,205,14,,,,,,46,4219,
